title, author, genre, # pages, rating, # ratings, progress
By Night in Chile, Roberto Bola����o, Fiction,118,3.88,4656,
We Have Always Lived in the Castle, Shirley Jackson, Horror,146,4.06,28949,
The Lathe of Heaven, Ursula K. Le Guin, Science Fiction,176,4.09,25938,
How to Get into the Twin Palms, Karolina Waclawiak, Fiction,192,3.5,486,
Zero to One: Notes on Startups or How to Build the Future, Peter Thiel, Business,195,4.14,18282,
Child of God, Cormac McCarthy, Fiction,197,3.87,17120,
The Grand Design, Stephen Hawking, Science,199,3.97,34275,
The Chrysalids, John Wyndham, Science Fiction,200,3.91,26619,
Things Fall Apart (The African Trilogy #1), Chinua Achebe, Cultural,209,3.57,174302,
Generation X: Tales for an Accelerated Culture, Douglas Coupland, Fiction,211,3.73,19955,
The Long Tomorrow, Leigh Brackett, Science Fiction,223,3.59,1011,
The Sirens of Titan, Kurt Vonnegut, Science Fiction,224,4.14,65598,
The Obstacle Is the Way: The Timeless Art of Turning Trials into Triumph, Ryan Holiday, Non Fiction,224,3.99,5193,
The Curious Incident of the Dog in the Night-Time, Mark Haddon, Fiction,226,3.83,763482,
America (The Book): A Citizen's Guide to Democracy Inaction, Jon Stewart, Non Fiction,228,4.02,72886,
Can't We Talk about Something More Pleasant?, Roz Chast, Sequential Art,228,4.04,14714,
The Color of Magic (Discworld #1), Terry Pratchett, Fantasy,228,3.94,170501,
Notes from Underground, Fyodor Dostoyevsky, Novels,233,4.15,78283,
The Painted Bird, Jerzy Kosi����ski, Fiction,234,3.94,12918,
Affluenza: When Too Much is Never Enough, Clive Hamilton, Non Fiction,240,3.69,333,
America Again: Re-becoming the Greatness We Never Weren't, Stephen Colbert, Humor,240,3.89,7697,
Empire of Illusion: The End of Literacy and the Triumph of Spectacle, Chris Hedges, Non Fiction,240,3.93,3154,
Hacking: The Art of Exploitation, Jon Erickson, Science,241,4.18,954,
Rendezvous with Rama (Rama #1), Arthur C. Clarke, Science Fiction,243,4.03,81193,
The Man Who Mistook His Wife for a Hat and Other Clinical Tales, Oliver Sacks, Science,243,4.02,79649,
Mating in Captivity: Reconciling the Erotic + the Domestic, Esther Perel, Non Fiction,244,3.92,2329,
Macbeth, William Shakespeare, Fiction,249,3.86,432409,
The Restaurant at the End of the Universe (Hitchhiker's Guide to the Galaxy #2), Douglas Adams, Science Fiction,250,4.2,131186,
The Drunkard's Walk: How Randomness Rules Our Lives, Leonard Mlodinow, Non Fiction,252,3.85,11463,
How Children Succeed: Grit Curiosity and the Hidden Power of Character, Paul Tough, Non Fiction,256,3.9,14944,
Steppenwolf, Hermann Hesse, Fiction,256,4.09,75179,
Their Eyes Were Watching God, Zora Neale Hurston, Classics,256,3.84,161592,
The Stars My Destination, Alfred Bester, Science Fiction,258,4.14,26097,
End This Depression Now!, Paul Krugman, Economics,259,3.97,3222,
The Shadow of the Torturer (The Book of the New Sun #1), Gene Wolfe, Fantasy,262,3.81,12868,
The Collapse of Complex Societies, Joseph A. Tainter, History,262,4.14,455,
Ishmael: An Adventure of the Mind and Spirit (Ishmael #1), Daniel Quinn, Spirituality,263,3.95,56488,
Starship Troopers, Robert A. Heinlein, Science Fiction,264,3.98,113150,
Spam Nation: The Inside Story of Organized Cybercrime ̢���� from Global Epidemic to Your Front Door, Brian Krebs, Non Fiction,272,3.66,644,
The Promise of a Pencil: How an Ordinary Person Can Create Extraordinary Change, Adam Braun, Non Fiction,272,4.07,2271,
The Forever War (The Forever War #1), Joe Haldeman, Science Fiction,278,4.13,79494,
The Shallows: What the Internet Is Doing to Our Brains (Mokslas visiems), Nicholas Carr, Non Fiction,280,3.82,10823,
Deliverance, James Dickey, Fiction,288,3.85,22056,
Ham on Rye, Charles Bukowski, Classics,288,4.16,48496,
Kingpin: How One Hacker Took Over the Billion-Dollar Cybercrime Underground, Kevin Poulsen, Non Fiction,288,4.01,2749,
Never Let Me Go, Kazuo Ishiguro, Fiction,288,3.79,254921,
Redeployment, Phil Klay, Short Stories,288,3.99,12473,
Ringworld (Ringworld #1), Larry Niven, Science Fiction,288,3.95,65361,
So Good They Can't Ignore You: Why Skills Trump Passion in the Quest for Work You Love, Cal Newport, Non Fiction,288,4,4721,
Ubik, Philip K. Dick, Science Fiction,288,4.09,42557,
Neil Patrick Harris: Choose Your Own Autobiography, Neil Patrick Harris, Non Fiction,291,3.88,15690,
Women, Charles Bukowski, Fiction,291,3.91,35442,
Something Wicked This Way Comes (Green Town #2), Ray Bradbury, Horror,293,3.95,58466,
The Last Unicorn (The Last Unicorn #1), Peter S. Beagle, Fantasy,294,4.17,70165,
The Botany of Desire: A Plant's-Eye View of the World, Michael Pollan, Non Fiction,297,4.04,32803,
The Ghost Map: The Story of London's Most Terrifying Epidemic - and How It Changed Science Cities and the Modern World, Steven Johnson, History,299,3.91,21210,
The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses, Eric Ries, Business,299,4.01,36832,
Among Others, Jo Walton, Fantasy,302,3.68,14008,
No Good Men Among the Living: America the Taliban and the War through Afghan Eyes, Anand Gopal, Non Fiction,304,4.41,582,
The Communist Manifesto, Karl Marx, Non Fiction,304,3.48,54165,
The Geography of Nowhere: The Rise and Decline of America's Man-Made Landscape, James Howard Kunstler, Non Fiction,304,4.04,2347,
The Hard Thing About Hard Things: Building a Business When There Are No Easy Answers, Ben Horowitz, Business,304,4.13,8923,
Cybersecurity and Cyberwar, P.W. Singer, Non Fiction,306,3.85,228,
The Wisdom of Crowds, James Surowiecki, Non Fiction,306,3.77,15075,
We Are All Completely Beside Ourselves, Karen Joy Fowler, Fiction,310,3.74,50090,
Amnesia, Peter Carey, Fiction,311,2.82,1097,
The Handmaid's Tale, Margaret Atwood, Fiction,311,4,439672,
Kitchen Confidential: Adventures in the Culinary Underbelly, Anthony Bourdain, Autobiography,312,3.98,120176,
Fermat's Enigma: The Epic Quest to Solve the World's Greatest Mathematical Problem, Simon Singh, Non Fiction,315,4.19,14593,
Tropic of Cancer, Henry Miller, Fiction,318,3.71,41040,
The Sixth Extinction: An Unnatural History, Elizabeth Kolbert, Non Fiction,319,4.03,11980,
Brain Maker: The Power of Gut Microbes to Heal and Protect Your Brain̢����for Life, David  Perlmutter, Health,320,4.1,834,
How to Change the World: Social Entrepreneurs and the Power of New Ideas, David Bornstein, Business,320,3.92,1363,
Robinson Crusoe, Daniel Defoe, Classics,320,3.64,159713,
Suburban Nation: The Rise of Sprawl and the Decline of the American Dream, Andr����s Duany, Non Fiction,320,4.06,1544,
The Department of Mad Scientists: How DARPA Is Remaking Our World from the Internet to Artificial Limbs, Michael Belfiore, Non Fiction,320,3.51,264,
The Power of Myth (Joseph Campbell and Power of Myth), Joseph Campbell, Non Fiction,320,4.29,28319,
The Unbearable Lightness of Being, Milan Kundera, Classics,320,4.07,196665,
Walking the Amazon: 860 Days. The Impossible Task. The Incredible Journey, Ed Stafford, Travel,320,3.65,881,
Carsick, John Waters, Non Fiction,323,3.38,4163,
The Hot Zone: The Terrifying True Story of the Origins of the Ebola Virus, Richard   Preston, Non Fiction,323,4.08,62531,
