100 Deadly Skills, Clint Emerson
13 Hours Mitchell Zuckoff
A Bug Hunter's Diary, Tobias Klein
A Mother's Reckoning, Sue Klebold
A Walk in the Woods, Bill Bryson
Advice from My 80-Year-Old Self, Susan O'Malley
Algorithms to Live By, Brian Christian
Alligator Candy, David Kushner
Anna Karenina, Leo Tolstoy
Annihilation, Jeff VanderMeer
Apathy and Other Small Victories, Paul Neilan
Archimedes to Hawking: Laws of Science and the Great Minds Behind Them, Clifford Pickover
Atlas Shrugged, Ayn Rand
Auschwitz: A Doctor's Eyewitness Account, Miklos Nyiszli
Basic Economics, Thomas Sowell
Being Mortal: Medicine and What Matters in the End, Atul Gawande
Benjamin Franklin: An American Life, Walter Isaacson
Big Magic, Elizabeth Gilbert
Black Flags: The Rise of ISIS, Joby Warrick
Black Rednecks and White Liberals, Thomas Sowell
Blackwater, Jeremy Scahill
Body of Secrets, James Bamford
Book of Numbers, Joshua Cohen
Book of the New Sun, Gene Wolfe
Business@The Speed of Thought, Bill Gates
C. G. Jung, Modern Man in Search of a Soul
Call for the Dead, John le Carre
Candide, Voltaire
Chaos in Kabul, Gerard de Villiers
Chaos, James Gleick
Children of the New World, Alexander Weinstein
Cia: Manual for PSYCHOLOGICAL OPERATIONS IN GUERRILLA WARFARE Paperback, A M Nagy
Cloud Atlas, David Mitchell
Columbine, Dave Cullen
Consider Phlebas, Iain M. Banks
Contact, Carl Sagan
Cool Tools, Kevin Kelly
Cosmos, Carl Sagan
Coup d'Etat: A Practical Handbook, Edward N. Luttwak
Crisis of Character, Gary J. Byrne
Cyber War, Richard Clarke
CyberStorm, Matthew Mather
Dark Money, Jane Mayer
Darkness at Noon, Arthur Koestler
David and Goliath, Malcolm Gladwell
David Copperfield, Charles Dickens
Dirty Wars: The World Is a Battlefield, Jeremy Scahill
Discworld, Terry Pratchett
Doctor Sleep, Stephen King
Don Quixote, Miguel de Cervantes
Dreamland, Sam Quinones
Einstein: His Life and Universe, Walter Isaacson
Enemies: A History of the FBI, Tim Weiner
Everybody's Fool, Richard Russo
Everything's Eventual, Stephen King
Evolving Ourselves, Juan Enriquez
Fearless, Eric Blehm
Fermat's Enigma, Simon Singh
Finnegan's Wake, James Joyce
Full Dark No Stars, Stephen King
Genome: The Autobiography of a Species in 23 Chapters, Matt Ridley
Ghettoside, Jill Leovy
Ghost Wars, Steve Coll
Giant of the Senate, Al Franken
Hacking: The Art of Exploitation, Jon Erickson
His Dark Materials Trilogy, Philip Pullman
History of Western Philosophy, Bertrand Russell
Hooked, Nir Eyal
Hunger, Knut Hamsun
I Am Not A Serial Killer, Dan Wells
Ishmael, Daniel Quinn
It Can't Happen Here, Sinclair Lewis
It, Stephen King
Leviathan Wakes, James Corey
Lights Out, Tep Koppel
Lolita, Vladimir Nabokov
Long Walk to Freedom, Nelson Mandela
Look Who's Back, Timur Vermes
Man and His Symbols, C. G. Jung
Man Called Intrepid, William Stevenson
Mastering Bitcoin for Dummies, Alan T. Norman
Memories, Dreams, Reflections, C. G. Jung
Missing Microbes, Martin Blaser
Moby Dick, Herman Melville
Moral Tribes, Joshua Greene
Mr. Midshipman Hornblower, C. S. Forester
Napoleon the Great, Andrew Roberts
Narconomics: How to Run a Drug Cartel, Tom Wainwright
Network Security Assessment, Chris McNab
Networks of New York, Ingrid Burrington
No Hero, Mark Owen
