11/22/63, Stephen King
2001: A Space Odyssey, Arthur C. Clarke
2010: Odyssey Two, Arthur C. Clarke
A Confederacy of Dunces, John Kennedy Toole
A Cook's Tour: In Search of the Perfect Meal, Anthony Bourdain
A Fire Upon the Deep, Vernor Vinge
A Man Called Ove, Fredrik Backman
A Short History of Nearly Everything, Bill Bryson
A Tale of Two Cities [x], Charles Dickens
A Thousand Naked Strangers, Kevin Hazzard
A Thousand Splendid Suns [x], Khaled Hosseini
A Tree Grows in Brooklyn [x], Betty Smith
A Wizard of Earthsea [x], Ursula K. Le Guin
Affluenza, Clive Hamilton
Against All Enemies [x], Richard Clarke
Age of Ambition, Evan Osnos
All's Quiet on the Western Front, Erich Maria Remarque
Alone on the Wall, Alex Honnold
America [x], Jean Baudrillard
America Again, Stephen Colbert
America, Jon Stewart
American Nations: A History of the Eleven Rival Regional Cultures of North America, Colin Woodard
Angela's Ashes [x], Frank McCourt
Angler: The Cheney Vice Presidency, Barton Gellman
Armada, Ernest Cline
Around the World in 50 Years: My Adventure to Every Country on Earth, Albert Podell
As You Wish: Inconceivable Tales from the Making of The Princess Bride, Cary Elwes
Average Is Over, Tyler Cowen
Bartleby, the Scrivener: A Story of Wall Street
Best of 2600, Emmanuel Goldstein
Best of MAKE, Mark Frauenfelder
Blitzed: Drugs in the Third Reich, Norman Ohler
Bonk, Mary Roach
Boomerang, Michael Lewis
Born Standing Up, Steve Martin
Both Flesh and Not: Essays, David Foster Wallace
Brain Maker: The Power of Gut Microbes to Heal and Protect Your Brain���for Life, David Perlmutter
By Night in Chile, Roberto Bolano
Can't We Talk about Something More Pleasant?, Roz Chast
Cancer Ward, Aleksandr Solzhenitsyn
Carsick, John Waters
Catching the Big Fish, David Lynch
Chaos Monkeys [x], Antonio Garcia Martinez
Child of God, Cormac McCarthy
Collapse, Jared Diamond
Common Sense, Thomas Paine
Confessions of an Economic Hit Man, John Perkins
Confront and Conceal, David E. Sanger
Conscious Capitalism, John Mackey
Corporate Warriors, P.W. Singer
Cybersecurity and Cyberwar, P.W. Singer
Dad Is Fat, Jim Gaffigan
Dark Pools, Scott Patterson
Dark Territory: The Secret History of Cyber War, Fred Kaplan
Data and Goliath, Bruce Schneier
David Foster Wallace: The Last Interview: and Other Conversations (The Last Interview Series), David Foster Wallace
Dear White People, Justin Simien
Deep Work, Cal Newport
Dhalgren, Samuel R. Delany
Disrupted: My Misadventure in the Start-Up Bubble, Dan Lyons
Do No Harm, Henry Marsh
Doing Good Better: How Effective Altruism Can Help You Make a Difference, William MacAskill
Dry, Augusten Burroughs
Egghead: Or, You Can't Survive on Ideas Alone
Elon Musk, Ashlee Vance
Empire of Illusion, Chris Hedges
End This Depression Now, Paul Krugman
Essays of E. B. White, E. B. White
Everything, Nicola Yoon, Everything
Fahrenheit 451, Ray Bradbury
Flash Boys, Michael Lewis
Frank: The True Story That Inspired the Movie, Jon Ronson
Furiously Happy [x], Jenny Lawson
Future Crimes, Marc Goodman
Futuristic Violence and Fancy Suits [x], David Wong
Generation Kill, Evan Wright
Generations, Neil Howe
Get in the Van, Henry Rollins
Ghost Fleet, P.W. Singer
Ghost Rider: Travels on the Healing Road, Neil Peart
Girl in a Band [x], Kim Gordon
Girl Walks into a Bar, Rachel Dratch
Grunt [x], Mary Roach
Hackers, Steven Levy
Hallucinations, Oliver Sacks
Ham on Rye, Charles Bukowski
Harry Potter and the Cursed Child, J.K. Rowling
Heart of Darkness [x], Joseph Conrad
Hillbilly Elegy, J. D. Vance
How Children Succeed, Paul Tough
How Google Works, Eric Schmidt
How Markets Fail, John Cassidy
How To Get Into The Twin Palms, Karolina Waclawiak
How Will You Measure Your Life?, Clayton M. Christensen
Hunger Makes Me a Modern Girl [x], Carrie Brownstein
Hyperbole and a Half, Allie Brosh
Into the Water, Paula Hawkins
Journey to the End of the Night, Louis-Ferdinand Celine
Just Kids, Patti Smith
Just Like Someone Without Mental Illness Only More So [x], Mark Vonnegut
Kill Chain, Andrew Cockburn
Kingpin, Kevin Poulsen
Kitchen Confidential, Anthony Bourdain
Leaves of Grass, Walt Whitman
Let My People Go Surfing, Yvon Chouinard
Let's Explore Diabetes with Owls, David Sedaris
Let's Pretend This Never Happened [x], Jenny Lawson
Life in the Woods, Henry David Thoreau
Lords of Secrecy, Scott Horton
Lost Girls, Robert Kolker
Macbeth, Shakespeare
Machine Platform Crowd, Andrew McAfee + Erik Brynjolfsson
Made in the USA, Vaclav Smil
Man's Search for Meaning, Viktor Frankl
Medium Raw, Anthony Bourdain
Milk and Honey, Rupi Kaur
Modern Romance, Aziz Ansari
More Now Again, Elizabeth Wurtzel
Mr. Mercedes [x], Stephen King
My Age of Anxiety, Scott Stossel
My Custom Van, Michael Ian Black
My Friend Dahmer, Derf Backderf
Navel Gazing, Michael Ian Black
Neil Patrick Harris: Choose Your Own Autobiography, Neil Patrick Harris
Neuromancer, William Gibson
No Easy Day, Mark Owen
No Good Men Among the Living, Anand Gopal
No Is Not Enough, Naomi Klein
NOS4A2 [x], Joe Hill
Not That Kind of Girl, Lena Dunham
Oh Myyy!: There Goes The Internet, George Takei
On Intelligence, Jeff Hawkins
On Killing, Dave Grossman
On the Move: A Life, Oliver Sacks
On the Origin of Species, Charles Darwin
On Writing, Stephen King
One Day in the Life of Ivan Denisovich, Aleksandr Solzhenitsyn
Our Final Invention: Artificial Intelligence and the End of the Human Era, James Barrat
Please Kill Me, Legs McNeil and Gillian McCain
Principles of Compiler Design, Aho/Ullman
Putin Country: A Journey into the Real Russia, Anne Garrels
Razor Girl [x], Carl Hiaasen
Reamde [x], Neal Stephenson
Redeployment, Phil Klay
Rise of the Robots, Martin Ford
Rise of the Warrior Cop: The Militarization of America�۪s Police Forces, Radley Balko
Robert Kirkman's The Walking Dead: Descent, Jay Bonansinga
Rogue Lawyer, John Grisham
